100
0	0
48	154
-52	-20
-108	93
15	154
136	26
-64	53
-43	-78
155	18
18	136
-78	84
-182	79
76	62
-100	5
10	-46
146	-18
21	-176
9	-97
-87	89
-20	-104
-10	-178
69	-75
163	47
138	-46
-119	-35
-158	18
88	-148
-18	-134
170	-9
-59	-89
-37	69
-37	86
190	22
21	-58
63	120
107	153
100	-154
-112	-85
-31	163
-82	13
121	68
105	-7
0	-97
8	24
-60	-33
-48	-97
92	0
73	22
14	-123
126	-138
165	51
-193	-12
12	18
-11	142
-59	162
-101	141
-78	-106
8	89
43	100
56	-57
-122	39
78	83
-105	-44
0	-199
-12	182
50	-159
156	97
154	84
85	42
69	21
27	-6
-104	153
-122	30
180	-39
145	-110
131	131
-153	-86
-48	-146
-131	-91
93	62
-147	95
21	156
-11	83
-37	-69
77	152
-131	-93
-91	95
124	-39
0	120
-106	-165
-121	129
-52	-29
47	121
-90	-157
189	-55
-32	-137
-7	142
-119	-85
118	-61
9	32
