100
0	0
-70	-119
194	10
-86	164
-26	-20
65	-150
171	-100
34	-139
193	-30
53	-95
-158	51
-152	-87
-95	-151
165	64
85	168
-35	156
-118	89
-55	-170
-124	-54
24	-37
-36	4
-99	64
90	132
12	90
86	-26
143	128
-103	33
68	129
-127	-32
80	131
19	-132
165	103
91	124
78	-76
103	-147
131	59
-6	-60
70	-78
98	-158
-157	-41
-87	45
-51	118
86	167
19	-161
67	-66
40	-152
137	144
-128	45
35	169
-77	36
100	-136
1	8
-127	129
-172	31
-30	-123
119	-124
28	34
107	79
-130	67
-132	-102
-162	-33
-77	24
125	-84
17	64
26	169
165	-65
36	178
-58	48
-16	66
-115	6
148	19
-73	113
83	33
94	-136
112	-86
-57	148
48	-55
-22	38
-101	-136
-12	106
85	-26
163	-86
60	-70
-21	49
60	161
-9	-132
41	-126
-109	94
-38	-22
120	-85
-72	-137
41	4
167	55
-44	-59
-42	86
45	26
73	-95
-57	-190
-9	-81
-8	20
