100
0	0
1	62
133	-126
-59	-63
-53	69
136	-133
17	-172
-84	164
89	95
-111	114
133	-1
-133	100
-98	-127
-49	10
10	-55
129	46
125	-57
-171	-88
72	-29
84	56
-142	84
65	54
-13	122
-19	-10
131	126
52	-191
74	-5
-191	31
12	193
160	18
-120	-2
31	2
124	-24
101	-128
19	128
180	-60
-58	-56
26	136
-128	102
68	-182
45	102
85	46
-55	88
51	103
26	136
60	17
-189	-25
78	-54
30	-87
-123	75
162	53
123	-113
-77	22
147	-15
-13	-177
-42	149
-121	-57
-87	-40
77	36
128	106
125	-52
46	23
-52	-7
-55	-75
49	-129
69	160
144	-111
132	-135
-103	111
92	50
-46	176
91	-55
-122	31
-66	-45
149	-114
-5	127
-106	137
-43	153
33	-195
96	49
132	-52
29	42
116	-16
-142	81
71	174
134	139
73	-154
190	-28
-114	-124
177	-28
-18	54
-2	-191
66	-184
-50	-71
-24	0
-158	106
-6	166
60	45
-79	97
-6	-25
