100
0	0
-98	61
-114	-110
17	183
90	-112
121	0
-105	23
-118	85
-114	44
-106	29
161	109
143	25
-84	-75
-37	152
135	-14
-60	-40
113	1
-38	74
-58	-135
-136	-92
-32	195
-182	-19
-184	13
-24	156
-53	13
39	50
165	74
153	81
-124	-153
-23	-172
85	-20
51	-67
-15	-12
51	-118
161	-17
-39	-160
-89	66
169	-84
-106	-1
-78	122
-40	-128
-146	-116
-20	-36
165	-9
166	-109
-44	-15
-58	163
72	-159
77	-12
-64	63
-164	55
24	54
-136	-123
68	3
39	-144
74	87
-89	40
-179	-2
-89	104
118	112
0	-28
-78	169
2	-54
-129	-25
193	-37
-75	-150
0	183
66	-106
-138	-28
-1	80
60	-108
181	70
-12	178
56	36
127	-97
114	160
-101	168
36	175
139	29
-41	-104
58	-34
-108	-94
37	152
-135	-127
35	71
157	-108
69	-83
94	141
-5	-35
83	80
-40	-15
36	158
-45	106
-55	-93
100	-114
144	48
110	41
109	-80
-140	-117
-32	-2
