100
0	0
81	-149
1	-172
131	-59
93	74
67	-28
-108	-95
57	-66
-42	185
170	-100
-85	-26
36	152
-94	-101
84	-81
-76	71
50	-98
-123	26
-42	13
-70	170
-76	113
-64	95
8	-18
-48	47
162	-82
-34	130
-40	8
-195	-35
19	-116
125	-49
117	-119
11	105
58	-26
22	-88
20	-34
-30	-23
52	-95
-97	-6
-148	-74
131	-45
87	44
115	-43
24	-37
-162	-4
-12	-7
-158	-67
-45	145
155	-95
-127	153
-127	106
-146	114
1	171
-123	-26
-138	-32
-115	4
8	-82
-29	-133
183	2
25	6
-38	-178
-123	-109
-54	82
-65	-186
97	116
96	61
-72	60
-155	72
-164	-81
-99	126
-35	11
-47	-80
-61	-24
-67	6
99	-119
-88	133
81	-62
25	83
67	-98
-3	92
81	-55
81	-74
161	-79
-80	72
114	78
-101	-12
11	25
-128	-13
9	-14
-104	-46
-53	-110
50	16
135	-65
-176	21
-71	-28
-53	-82
-72	-163
-23	-171
-14	-21
-109	-1
155	-15
22	19
