100
0	0
-171	48
118	-43
-143	20
65	-9
100	-146
100	-156
80	30
-82	-28
-109	-81
-8	-51
96	-6
97	139
-11	130
137	-20
-23	-41
7	12
120	141
-1	110
158	-32
176	-58
11	-174
-35	-138
54	-38
140	33
-129	38
17	91
43	-87
66	-55
59	37
82	97
-189	-61
-131	-51
133	-147
152	36
-168	-8
70	142
-180	-50
-78	-69
-51	-98
35	-99
-60	-171
-2	55
196	-34
-113	-35
161	-92
61	-119
-84	-163
197	13
163	-87
-162	52
-173	-63
171	-102
-11	-78
24	152
72	41
-60	79
93	-157
2	119
-55	69
5	53
-13	156
-40	-176
-147	71
-155	-16
163	68
171	64
-97	-106
87	-162
-24	107
49	73
-84	-87
-12	178
-24	-128
132	-101
-29	141
150	123
70	-169
43	179
-51	-95
-174	61
-190	-46
155	-85
-81	90
41	104
-78	35
-56	142
39	85
96	77
-77	31
-116	10
-102	93
167	-81
-95	-132
-135	82
-7	-198
136	49
-41	29
169	50
24	2
